,compound,score
63,Cc1ccc(CN2CCN(CC(=O)N=Nc3c(O)[nH]c4ccccc34)CC2)cc1,1
64,Cc1ccc(N(CC(=O)N2CCCC2)S(C)(=O)=O)cc1C,0
65,c1ccc(-c2nnc3n2N=C(c2ccc4c(c2)OCO4)CS3)nc1,0
66,CC(=O)Nc1ccc(NC(=O)C(C)OC(=O)COc2ccc(Nc3ccccc3)cc2)cc1,1
67,CCCc1ccc(Oc2c(C)n[nH]c2-c2ccc(O)c(C)c2O)cc1,0
68,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccccn2)c([N+](=O)[O-])c1,1
69,O=C(Nc1ccccc1C(=O)Nc1nnc(C(F)(F)F)s1)c1ccccc1,1
70,CSc1ncccc1C(=O)OCc1c(F)cccc1Cl,0
71,O=C(N[C@H]1CC(F)(F)C[C@@H]1Nc1ncc(C(F)(F)F)cc1F)c1ccccc1-n1nccn1,1
72,CC1=CC2=NC([C@@H]3[C@@H](C)CCN3C(=O)c3nc(C)sc3-c3cccc(Cl)c3)=NC2C(C)=C1,1
73,Cc1c(C)n(C)c2ccc(C(=O)Nc3cccc4ccccc34)cc12,1
74,C[C@@H]1CC[C@@H](Sc2cc(C#N)ccn2)CN1C(=O)c1ccsc1-n1nccn1,1
75,O=C(OCCN1CCOCC1)c1ccc(O)cc1,0
76,COc1nc(N=C(N)N)nc2c(C)cccc12,0
77,C=C1CC(C2=NC3C(C)=CC(C)=CC3=N2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,1
78,COc1ccc(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cc1NC(C)=O,0
79,C=CCOc1ccc2ccccc2c1CNc1nc[nH]n1,0
80,COc1c(C)nc(N2CC3CN(C(=O)c4c(F)cccc4-n4nccn4)CC3C2)nc1C,1
81,CCNC(=O)NNC(=O)C1CC(c2cccnc2)=NO1,0
82,COc1ccc(C(=O)N2CC3CN(c4ncc(F)c(C)n4)CC3C2)c(-n2nccn2)c1,1
83,CN(Cc1ccccc1)C(=O)CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,1
84,O=C(O)c1cn(C2CCCCC2)c2ccccc2c1=O,0
85,CN(C)c1cccc(C(=O)N(C)C2CCCN(Cc3ccccc3F)C2)c1,0
86,CO[C@H]1CN(C(=O)c2nc(C)sc2-c2ccccc2)C(C)(C2=NC3C(C)=CC=CC3=N2)C1,1
87,Cc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)CN1C(=O)NC2(CCCC2)C1=O,0
88,Cc1cccc(NC(=O)c2ccc([N+](=O)[O-])s2)n1,1
89,Cc1ccc(-n2nccn2)c(C(=O)N2CC3CC(Nc4ncc(C(F)(F)F)cc4F)C2C3)n1,1
90,Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2c2nc(-c3ccccc3Cl)no2)c1,1
91,Cc1sc([C@@H]2CC[C@@H](C)N(C(=O)c3ccsc3-n3nccn3)C2)nc1C(C)(C)O,1
92,CC(=O)CNC(=O)[C@@H]1CC[C@@H](C)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,1
93,COc1ccc(N(CC(=O)Nc2nc3ccc(C)cc3s2)S(=O)(=O)c2c(C)nn(C)c2C)cc1,0
94,COn1c(-n2nc(C)cc2C)nc2ccccc2c1=O,0
95,CCOc1ncccc1-c1nc([C@@H]2CCCN2C(=O)c2cc(Cl)ccc2-n2nccn2)no1,1
96,CCOc1ncccc1C(=O)N1CCCC[C@@H]1Cc1nc(C(C)(C)O)c(C)o1,1
97,Cc1oc(-c2ccccc2F)nc1CS(=O)(=O)CC(=O)NC(C)CCc1ccccc1,0
98,O=C(CC1C(=O)NCCN1Cc1ccc(-c2ccccc2)cc1)NCc1ccccc1,0
99,COc1ccc(NC(=O)NNS(=O)(=O)c2ccc(OC)c(OC)c2)c(OC)c1,0
100,CCC(C(=O)NCc1ccc(C)cc1)c1ccccc1,0
101,C=C1C[C@@H](C2=NC3C=C(Cl)C(C(F)(F)F)=CC3=N2)N(C(=O)c2c(-n3nccn3)ccc(C)c2F)C1,1
102,O=C(NCc1ccco1)C1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,1
103,CCN(C(=O)COC(=O)C1=COCCO1)c1ccccc1,0
104,Cc1ccc(-c2ncccn2)c(C(=O)N2CC(COc3ccc(F)cn3)CCCC2C)c1,1
105,C[C@H]1[C@H](Oc2ccc(C(F)(F)F)cn2)CCCN1C(=O)c1cccnc1-n1nccn1,1
106,Cc1ccc(-c2cccc(F)c2)c(C(=O)N2CCC[C@@]2(C)c2nc3cc(C)c(C)cc3n2CCF)c1,1
107,CN(C(=O)c1ccccc1NC(=O)C(F)(F)F)c1ccccc1,0
108,CCc1nnc(SCc2ccc(OC)c(Br)c2)n1N,0
109,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)C1CCCC1,0
110,CCOc1ccc(N2C(=O)Nc3ccc(Br)cc3C2(O)C(=O)NC(C)C)cc1,0
111,COc1ccccc1NC(=O)c1cc(-c2cc(OC)c(OC)c(OC)c2)nc2ccccc12,0
112,N#Cc1c(=O)c2nc(NCc3ccccc3)ncc2n2ccccc12,1
113,Cc1ccc(C)c(N2CCN(CCCNC(=O)CCn3c(=O)c4cccn4c4cccnc43)CC2)c1,0
